"","x"
"1","giliran yg begini selalu selesai dgn kata gangguan jiwa emang tuh antek pki sdh ada uji klinis smp dibilang gila    "
"2","giliran yg begini selalu selesai dgn kata gangguan jiwa emang tuh antek pki sdh ada uji klinis smp dibilang gila  "
"3","kalau sudah kosong kas artinya rezim kere"
"4","paya deh pemerintah sdh tidak waras lagi dana haji mau dijadikan pemerkuat rupiah        "
"5","geger warga mengenakan kaos pendukung jokowi ditemukan tewas gantung diri"
"6","paya deh pemerintah sdh tidak waras lagi dana haji mau dijadikan pemerkuat rupiah"
"7","dimakzulkan oleh rakyat langsung geruduk untuk memakzulkan jokowi sekaligus bubarkan  "
"8","mundur dengan sgala hormat sblm rkyt yg menurunkan anda shbt n skuat appun org dblkg anda jk allah swt mw "
"9","nggak gaduh nggak makan nggak gaduh lebih nampak borok nya mereka semua sdh pesanan"
"10","jokowi turun jokowi turun jokowi turun          "
"11","jokowi turun jokowi turun jokowi turun"
"12","jokowi turun jokowi turun jokowi turun            "
"13","jokowi turun jokowi turun jokowi turun      "
"14"," "
"15","jokowi turun jokowi turun jokowi turun        "
"16","pemerintah mau dgn cara apalagi menguras rakyat makanya dia bikin tapera or tabungan perumahan rakyat yg pd ujung u "
"17","spt nya bapak lebih pantas jadi presiden dibandingkan"
"18","hanya untuk yang berakal sehat"
"19","ketika perppu perppu corona mulai di aplikasikan penguasa si bangsat bangsa dalam merampok bangsa  "
"20","potong potong gaji  gaji rakyat ku potong  presiden tak tau diri  rakyatnya akan mati    "
"21","karena tiap waktu  muuuaaaakkk"
"22","ngeri sedap nulis tagar ini deg degan tetiba ada yg jemput paksa ruslan buton cerminan insan pecinta nkri "
"23","ngeri sedap nulis tagar ini deg degan tetiba ada yg jemput paksa ruslan buton cerminan insan pec "
"24","mungkin dia sudah pikun"
"25","awalnya tapi buzzer langsung trandingin wkwkwk"
"26","presiden baru  karena  tiap hari    sud "
"27","lanjutkan kapal sudah mau tengelam kapten"
"28","ikutan nih  silakan silahkan"
"29","din syamsuddin pemakzulan presiden sangat mungkin dilakukan"
"30","dulu corona br datang tertawa dianggap hoax skrg corona merajarela menangis dasarjokower pencitraan mulu minta maaf "
"31","memaksa masuk pemudik nyaris bentrok dengan warga di perbatasan gorontalo"
"32","suruh kepinggir dulu donk kalau ditengah jalan bisa ketabrak mobil     "
"33","suruh kepinggir dulu donk kalau ditengah jalan bisa ketabrak mobil        "
"34","udah berapa banyak rejeki yang di olah jadi makanan yang di konsumsi oleh pejabat dan aparat mikir ga sih mereka tuh dar "
"35","itu di rezim pemerintahan yg bertolelansi bukan sperti di indonesia yg saat ini di bawah kepemimpinan "
"36","ayo bahas di mpr"
"37","lah emangnya gw satu koalisi ama jokowi justr "
"38","bubarkan negara yang tak mencerminkan pancasila sama sekali"
"39","kangen kawan bem universitas universitas di indonesia kemana saja kalian sampai kapan kalian diam melihat "
"40","survei rakyat tak puas dengan cara jokowi tangani kemiskinan"
"41","selamat pagi indonesia yg makin kacau  tni yg perang tni yg gugur  tni yg jaga kedaulatan negara dan perbatasan tni yg "
"42","sudah ada suara samar dipagi hari supaya apa itu suara rakyat   "
"43","bener juga suruh minggir dlu aja"
"44","pesan terbuka dari bapak ruslan buton"
"45","setelah kekeyi membuat lagu kekeyi bukan boneka  presiden prank pula akan membuat lagu   aku boneka mak ba "
"46","apa hubungan antara berita ht segera dipanggil jaksa dan anak bungsunya ht yg menang lelang motor bertandatangan  "
"47","tagar jadi trending topic di twitter"
"48","bisa bisa tagar  bisa jadi trading topik dunia cuma bilang  koq malah di "
"49","tetap waspada dan jaga pak"
"50","betul wkwkwk"
"51","betul sebaiknya wkwkwk"
"52","udah berapa banyak rejeki yang di olah jadi makanan yang di konsumsi oleh pejabat dan aparat mikir ga sih mereka t "
